Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 12/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;34;9591;32;0.54729446308724827;0.45270553691275167;7203;0.346;8309;434;5.2232518955349617E-2;30;3.12793243E-3
2020;35;8820;32;0.53102897558749718;0.46897102441250288;6874;0.307;7427;366;4.9279655311700553E-2;18;2.04081632E-3
2020;36;8620;33;0.53655976676384842;0.46344023323615158;6657;0.272;7086;397;5.6025966694891335E-2;36;4.1763340999999999E-3
2020;37;9771;35;0.51795082810410453;0.48204917189589547;7606;0.205;8037;464;5.7732984944631083E-2;66;6.7546822199999997E-3
2020;38;12296;36;0.51222104144527103;0.48777895855472903;9768;0.187;10069;674;6.6938126924222865E-2;79;6.4248536099999996E-3
2020;39;13063;37;0.51642434033387186;0.48357565966612814;10361;0.182;10852;771;7.1046811647622554E-2;107;8.1910740199999995E-3
2020;40;15932;38;0.51936032235723728;0.48063967764276272;12610;0.176;13480;873;6.4762611275964388E-2;121;7.5947777999999999E-3
2020;41;26128;39;0.51044867854947762;0.48955132145052244;20102;0.166;21545;1586;7.3613367370619631E-2;238;9.1090018299999995E-3
2020;42;42089;39;0.50853812901530893;0.49146187098469107;30878;0.160;33704;2325;6.89829100403513E-2;456;1.0834184700000001E-2
2020;43;74836;40;0.50151057401812693;0.49848942598187312;52398;0.155;58129;4098;7.0498374305424147E-2;988;1.3202202140000001E-2
2020;44;111099;41;0.4972793858021059;0.50272061419789416;75603;0.158;83921;5904;7.0351878552448135E-2;1581;1.423055113E-2
2020;45;125818;41;0.4912579991510288;0.50874200084897125;84884;0.153;92666;6826;7.3662400448924095E-2;1849;1.469583048E-2
2020;46;127869;42;0.4845717983522207;0.51542820164777925;85572;0.149;94413;7467;7.9088684820946262E-2;2452;1.9175875299999999E-2
2020;47;128469;43;0.47446308198777237;0.52553691801222757;86334;0.148;93919;8003;8.5211724997071941E-2;3128;2.4348286350000001E-2
2020;48;123291;44;0.4655227304266904;0.53447726957330965;82267;0.155;89665;8246;9.1964534656778008E-2;3490;2.830701348E-2
2020;49;128510;45;0.45909800017246649;0.54090199982753351;87102;0.142;93712;9077;9.6860594160833188E-2;4352;3.386506886E-2
2020;50;156531;46;0.45381859349169901;0.54618140650830105;106534;0.145;113744;11099;9.757877338584893E-2;5575;3.5615948270000003E-2
2020;51;174934;46;0.4518307426597582;0.5481692573402418;117292;0.144;125468;12330;9.8272069372270218E-2;6242;3.5682028650000003E-2
2020;52;139232;48;0.44490191680113461;0.55509808319886544;90899;0.157;99297;10905;0.10982204900450164;5542;3.980406803E-2
2020;53;123201;49;0.44120897562892436;0.55879102437107564;83749;0.134;89737;10731;0.11958278079276106;5504;4.4674962050000003E-2
2021;1;145488;48;0.45085486388070056;0.54914513611929949;100576;0.132;105973;10748;0.10142206033612335;5482;3.7680083580000003E-2
2021;2;119010;48;0.45432710669031717;0.54567289330968283;80434;0.157;86920;9509;0.10939944776806258;4874;4.0954541630000001E-2
2021;3;95585;48;0.45818956875903477;0.54181043124096528;66266;0.157;72208;8485;0.11750775537336583;3877;4.0560757439999998E-2
2021;4;78245;48;0.46311977213264766;0.53688022786735234;54758;0.159;60745;7152;0.11773808543913079;2924;3.736979998E-2
2021;5;64672;46;0.47374664419054752;0.52625335580945243;46123;0.160;50868;6114;0.12019344184949281;2081;3.2177758530000003E-2
2021;6;50869;45;0.48379744326627688;0.51620255673372317;36861;0.164;40213;4883;0.12142839380299902;1544;3.0352474000000001E-2
2021;7;52517;44;0.49180296435487891;0.50819703564512109;38440;0.163;41997;4825;0.11488915874943448;1316;2.5058552460000001E-2
2021;8;56498;42;0.49716096189103076;0.50283903810896924;41261;0.158;44722;4466;9.9861365770761587E-2;1037;1.8354632020000001E-2
2021;9;58514;40;0.50708439369970426;0.49291560630029574;42599;0.154;45855;3972;8.6620870134118413E-2;799;1.365485183E-2
2021;10;71459;39;0.50277707293693086;0.49722292706306914;50410;0.154;53905;4312;7.9992579538076244E-2;740;1.0355588509999999E-2
2021;11;92782;39;0.50402906566888994;0.49597093433111;63393;0.152;68072;4692;6.8927018451051827E-2;593;6.3913258999999997E-3
2022;12;116633;38;0.50785213610945457;0.49214786389054543;73049;0.155;82254;4805;5.8416611958081066E-2;397;3.4038393899999998E-3
2023;13;108738;39;0.51304388205247276;0.4869561179475273;54108;0.156;65352;3246;4.9669482188762396E-2;129;1.1863378E-3
