Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 15/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;35;8823;32;0.53118941726536661;0.46881058273463339;6878;0.307;7429;366;4.9266388477587832E-2;18;2.0401223999999998E-3
2020;36;8614;33;0.53670206558524913;0.46329793441475087;6656;0.272;7081;397;5.6065527467871766E-2;36;4.1792430899999997E-3
2020;37;9769;35;0.51785163082621666;0.48214836917378329;7605;0.205;8037;465;5.7857409481149681E-2;66;6.7560650999999999E-3
2020;38;12296;36;0.51205754925202318;0.48794245074797676;9768;0.187;10067;674;6.6951425449488428E-2;79;6.4248536099999996E-3
2020;39;13063;37;0.51634741133933382;0.48365258866066618;10361;0.182;10853;771;7.1040265364415364E-2;107;8.1910740199999995E-3
2020;40;15932;38;0.51929736195932763;0.48070263804067243;12613;0.175;13481;875;6.4906164231140123E-2;121;7.5947777999999999E-3
2020;41;26126;39;0.51035304060543196;0.48964695939456804;20100;0.166;21546;1586;7.3609950802933255E-2;238;9.1096991499999991E-3
2020;42;42087;39;0.50856242088418635;0.49143757911581359;30879;0.160;33703;2325;6.8984956828768956E-2;458;1.0882220160000001E-2
2020;43;74824;40;0.50150408250966905;0.4984959174903309;52396;0.155;58134;4101;7.0543915780782326E-2;991;1.324441355E-2
2020;44;111090;41;0.49726558255767628;0.50273441744232372;75617;0.158;83939;5907;7.0372532434267748E-2;1586;1.4276712570000001E-2
2020;45;125803;41;0.49126095384566093;0.50873904615433907;85213;0.152;92744;6828;7.3622013283878199E-2;1849;1.469758272E-2
2020;46;127846;42;0.48455764540596857;0.51544235459403143;85770;0.148;94452;7470;7.9087790623808912E-2;2457;1.9218434669999999E-2
2020;47;128465;43;0.4744436867558649;0.5255563132441351;86386;0.148;93960;8011;8.525968497232865E-2;3140;2.444245514E-2
2020;48;123294;44;0.46552821902600688;0.53447178097399306;82373;0.155;89759;8250;9.1912788689713573E-2;3496;2.8354988880000001E-2
2020;49;128507;45;0.45915119779254987;0.54084880220745013;87341;0.142;94106;9083;9.6518819203876477E-2;4357;3.3904767830000002E-2
2020;50;156524;46;0.45385021097046413;0.54614978902953581;107266;0.146;114606;11140;9.7202589742247353E-2;5589;3.5706984230000002E-2
2020;51;174927;46;0.45182161997248432;0.54817838002751573;117823;0.144;126199;12344;9.7813770315137202E-2;6257;3.5769206579999997E-2
2020;52;139207;48;0.44492021930649384;0.55507978069350616;91190;0.158;99767;10900;0.10925456313209779;5557;3.9918969589999999E-2
2020;53;123196;49;0.44123449715525359;0.55876550284474646;84149;0.134;90207;10775;0.11944749298834902;5530;4.4887821029999997E-2
