Mon;Sun;Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020-08-24;2020-08-30;2020;35;8820;32;0.53102897558749718;0.46897102441250288;6878;0.308;7431;366;4.9253128784820348E-2;18;2.04081632E-3
2020-08-31;2020-09-06;2020;36;8615;33;0.53663943990665108;0.46336056009334892;6656;0.272;7083;397;5.6049696456303824E-2;36;4.1787579800000004E-3
2020-09-07;2020-09-13;2020;37;9768;35;0.51769911504424782;0.48230088495575218;7612;0.205;8039;467;5.8091802462992913E-2;66;6.7567567499999997E-3
2020-09-14;2020-09-20;2020;38;12294;36;0.51230479928051675;0.4876952007194833;9768;0.187;10067;674;6.6951425449488428E-2;80;6.5072393000000003E-3
2020-09-21;2020-09-27;2020;39;13064;37;0.51630769230769236;0.4836923076923077;10369;0.182;10858;771;7.1007552035365629E-2;107;8.1904470300000008E-3
2020-09-28;2020-10-04;2020;40;15928;38;0.51917627054600413;0.48082372945399582;12618;0.175;13486;874;6.4807948984131697E-2;121;7.5966850800000003E-3
2020-10-05;2020-10-11;2020;41;26126;39;0.510179778733866;0.489820221266134;20117;0.166;21559;1587;7.3611948606150557E-2;239;9.1479751899999993E-3
2020-10-12;2020-10-18;2020;42;42086;39;0.50850291391993885;0.49149708608006115;30902;0.160;33724;2329;6.9060609654845215E-2;459;1.0906239599999999E-2
2020-10-19;2020-10-25;2020;43;74811;40;0.5014774619889325;0.49852253801106755;52419;0.155;58160;4102;7.0529573590096289E-2;991;1.324671505E-2
2020-10-26;2020-11-01;2020;44;111078;41;0.49723821942120322;0.50276178057879672;75661;0.158;84005;5920;7.0471995714540797E-2;1592;1.433227101E-2
2020-11-02;2020-11-08;2020;45;125794;41;0.49126840444109776;0.50873159555890224;85257;0.152;92804;6835;7.364984267919486E-2;1858;1.4770179810000001E-2
2020-11-09;2020-11-15;2020;46;127839;42;0.48455740163384509;0.51544259836615491;85820;0.148;94573;7479;7.9081767523500365E-2;2469;1.931335507E-2
2020-11-16;2020-11-22;2020;47;128445;43;0.47441736499251375;0.52558263500748625;86453;0.148;94072;8024;8.5296368738838335E-2;3150;2.4524115379999999E-2
2020-11-23;2020-11-29;2020;48;123288;44;0.4654667156442594;0.53453328435574055;82508;0.155;89976;8258;9.1780030230283638E-2;3510;2.846992408E-2
2020-11-30;2020-12-06;2020;49;128489;45;0.45914247410880182;0.54085752589119818;87636;0.142;94308;9090;9.638630869067312E-2;4372;3.402625905E-2
