<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Preise;;;;;;;;;;
;;;;;;;;;;
Index der Erzeugerpreise gewerblicher;;;;;;;;;;
Kraftwagen und Kraftwagenteile ;1.07949;0.679612;0.387597;0.387597;0.289575;0.289296;0;0;0.289575;9.6246390759999995E-2
Sonstige Fahrzeuge ;1.459144;0.958773;0.858779;0.858779;0.761905;0.76118;0;0;9.4607379376E-2;9.4517958412000003E-2
Möbel ;1.532567;1.509434;1.411101;1.505174;1.401869;1.587302;0;9.2764378479000001E-2;0.55607;0.276498
Waren a. n. g. ;1.936108;1.709402;1.702933;1.510859;1.502347;1.502347;9.3109869646000001E-2;0;0.55814;0
Elektrischer Strom, Gas, Fernwärme, Wasser ;2.879841;-2.123552;-0.194932;2.252693;2.211538;4.381694;0.589391;1.953125;1.819923;0.84666
Elektrischer Strom, Gas, Fernwärme ;2.885572;-2.321083;-0.390625;2.257115;2.2158;4.589844;0.591716;2.156863;1.823417;0.942507
Elektrischer Strom ;6.998158;0.774527;1.642178;5.872042;5.128205;6.7753;-0.169779;2.721088;1.821192;1.219512
Erdgas (Verteilung) ;-0.116009;-9.988386;-5.231867;-3.317536;0.238095;4.938272;2.179487;2.38394;3.186275;0.950119
Fernwärme mit Dampf und Warmwasser ;4.705882;-0.510725;-2.140673;-1.834862;-3.05499;-2.851324;-0.2079;0.3125;-1.142264;0.210084
;;;;;;;;;;
Wasser und Dienstleistungen der Wasserversorgung ;1.915709;1.315789;1.219512;1.219512;1.765799;1.85701;0;0;1.482854;0.182648
;;;;;;;;;;
;;;;;;;;;;
1 Ohne Umsatzsteuer.;;;;;;;;;;
