
Stand: 24.04.2021 08:12:20;;;


Landkreis;LKNR;Anzahl;Inzidenz
SK Speyer;07318;110;217.558988
LK Spree-Neiße;12071;273;240.063313
LK Stade;03359;208;101.705523
LK Stadtverband Saarbrücken;10041;542;164.884976
LK Starnberg;09188;187;136.828935
LK Steinburg;01061;140;106.859625
LK Steinfurt;05566;803;179.153094
LK Stendal;15090;180;161.885062
LK Stormarn;01062;259;106.07972
SK Straubing;09263;90;188.319977
LK Straubing-Bogen;09278;190;187.89557
SK Stuttgart;08111;1394;219.213066
LK Südliche Weinstraße;07337;106;95.909375
LK Südwestpfalz;07340;68;71.706509
SK Suhl;16054;55;149.50121
LK Teltow-Fläming;12072;205;120.590363
LK Tirschenreuth;09377;50;69.400105
LK Traunstein;09189;440;248.140357
SK Trier;07211;102;91.456854
LK Trier-Saarburg;07235;143;95.717479
LK Tübingen;08416;456;199.407026
LK Tuttlingen;08327;400;284.159527
LK Uckermark;12073;144;121.062322
LK Uelzen;03360;75;81.178495
SK Ulm;08421;289;227.935957
LK Unna;05978;978;247.663279
LK Unstrut-Hainich-Kreis;16064;135;132.052586
LK Unterallgäu;09778;315;216.731686
LK Vechta;03460;451;315.79537
LK Verden;03361;164;119.591929
LK Viersen;05166;375;125.475552
LK Vogelsbergkreis;06535;157;148.613727
LK Vogtlandkreis;14523;491;217.259521
LK Vorpommern-Greifswald;13075;433;183.768138
LK Vorpommern-Rügen;13073;213;94.792214
LK Vulkaneifel;07233;71;117.072849
LK Waldeck-Frankenberg;06635;200;127.872332
LK Waldshut;08337;187;109.354807
LK Warendorf;05570;520;187.158077
LK Wartburgkreis;16063;332;279.052566
SK Weiden i.d.OPf.;09363;50;116.978219
LK Weilheim-Schongau;09190;150;110.719084
SK Weimar;16055;116;177.837738
LK Weimarer Land;16071;166;202.054628
LK Weißenburg-Gunzenhausen;09577;152;160.449258
LK Werra-Meißner-Kreis;06636;104;103.349929
LK Wesel;05170;748;162.61718
LK Wesermarsch;03461;89;100.470745
LK Westerwaldkreis;07143;300;148.585466
LK Wetteraukreis;06440;338;109.619607
SK Wiesbaden;06414;534;191.759374
SK Wilhelmshaven;03405;52;68.341022
LK Wittenberg;15091;179;143.253863
LK Wittmund;03462;24;42.159997
LK Wolfenbüttel;03158;108;90.284396
SK Wolfsburg;03103;224;180.106295
SK Worms;07319;188;225.036509
LK Wunsiedel i.Fichtelgebirge;09479;86;118.367628
SK Wuppertal;05124;898;252.886511
SK Würzburg;09663;167;130.536058
LK Würzburg;09679;166;102.278469
LK Zollernalbkreis;08417;437;230.773699
SK Zweibrücken;07320;39;114.058433
LK Zwickau;14524;948;300.95047
